房源编号,所在城市,所在区县,所在街道或地区,小区名称,面积,租赁方式,朝向,月租,计费方式,室,厅,卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
TJ2564384040430354432,天津,红桥,西营门,梦和园,53㎡,整租,南,1000元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,29层,有,暂无数据,暂无数据,暂无数据,有,自采暖
TJ2562819534763868160,天津,西青,张家窝,中交樾公馆,90㎡,合租,南,700元/月,季付价,3室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,15层,有,租用车位,民水,民电,有,集中供暖
TJ2563766753688043520,天津,滨海新区,汉沽,后坨里,40㎡,整租,南,900元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,4层,无,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2564254563532013568,天津,河北,建昌道,桥园里,22㎡,整租,南,1400元/月,None,1室,1厅,1卫,2020-08-01,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2565368667001069568,天津,塘沽,大沽街,碧桂园海昌天澜,30㎡,合租,南,1400元/月,季付价,5室,1厅,2卫,随时入住,3个月以上,随时可看,24,34层,有,租用车位,民水,民电,有,集中供暖
TJ2564372616127184896,天津,河北,铁东路,华宜里,34㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2565371908518854656,天津,塘沽,大沽街,碧桂园海昌天澜,20㎡,合租,北,1000元/月,季付价,5室,1厅,2卫,随时入住,3个月以上,随时可看,24,34层,有,租用车位,民水,民电,有,集中供暖
TJ2563526879856836608,天津,塘沽,新村街,河华里,40㎡,整租,南/北,1300元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2564418920673460224,天津,河西,友谊路,宾西楼,35㎡,整租,西,1300元/月,季付价,1室,0厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2563681482061119488,天津,河西,友谊路,宾西楼,16㎡,整租,南,1100元/月,季付价,1室,0厅,0卫,随时入住,2年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564465101327302656,天津,河东,万新村,曲溪中里,34㎡,整租,东,1300元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564271410188910592,天津,海河教育园区,咸水沽,金浩园,77㎡,整租,东,1200元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,24层,有,暂无数据,民水,民电,有,集中供暖
TJ2565098747834925056,天津,河西,越秀路,红波里,35㎡,整租,南/西,1600元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,8层,无,暂无数据,民水,民电,有,集中供暖
TJ2564477943757938688,天津,河西,马场街,卫星里,22㎡,整租,北,1000元/月,None,1室,0厅,0卫,随时入住,暂无数据,需提前预约,中楼层,4层,无,暂无数据,民水,民电,有,集中供暖
TJ2565035772701327360,天津,河东,春华街,福旺花园,13㎡,合租,南,780元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2563774794353360896,天津,河西,小海地,华江里,25㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,2020-07-31,1年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2526204230264422400,天津,河西,陈塘庄,天房六合国际,12㎡,合租,北,1390元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,38,38层,有,暂无数据,民水,民电,有,集中供暖
TJ2563015334999638016,天津,河西,友谊路,友谊东里,60㎡,整租,南/北,1600元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2562398763310120960,天津,西青,中北镇,碧水家园A区,15㎡,合租,东南,840元/月,月付价,2室,1厅,1卫,随时入住,1年,随时可看,1,6层,无,免费使用,民水,民电,有,集中供暖
TJ2562814612202864640,天津,河西,陈塘庄,雅致里,44㎡,整租,南,1600元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2565151238786392064,天津,南开,鼓楼街,尚佳新苑,12㎡,合租,南,1099元/月,季付价,4室,1厅,1卫,随时入住,3个月以上,随时可看,13,27层,有,暂无数据,民水,民电,有,集中供暖
TJ2560654178531942400,天津,河东,春华街,瑞金里,46㎡,整租,南/北,1150元/月,年付价,1室,1厅,1卫,随时入住,6~12个月,随时可看,2,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2502714722370199552,天津,河北,新开河,盛和家园,56㎡,整租,南/北,1400元/月,季付价,1室,1厅,1卫,随时入住,6个月以上,随时可看,29,29层,有,免费使用,民水,民电,有,集中供暖
TJ2559429263941959680,天津,东丽,东丽湖,恒大翡翠华庭,54㎡,整租,南,1000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,25层,有,暂无数据,民水,民电,有,集中供暖
TJ2549719075723427840,天津,塘沽,新村街,福建里,60㎡,整租,南,1500元/月,月付价,2室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,免费使用,民水,民电,有,集中供暖
TJ2559865908545986560,天津,东丽,万新街,金隅悦城品香苑,72㎡,整租,南/北,1400元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,17层,有,暂无数据,民水,民电,有,集中供暖
TJ2565190747670183936,天津,南开,万兴街,凯立花园,15㎡,合租,南,1000元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,租用车位,民水,民电,有,集中供暖
TJ2560123045310644224,天津,武清,下朱庄,越秀园西区,80㎡,整租,南/北,600元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2523853473943404544,天津,南开,鼓楼街,尚佳新苑,12㎡,合租,南,999元/月,月付价,4室,1厅,2卫,随时入住,3~12个月,随时可看,7,27层,有,免费使用,民水,民电,有,集中供暖
TJ2564994141423673344,天津,河北,王串场,华屏里,31㎡,整租,南,1300元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564414381865566208,天津,河北,王串场,焕玉里,44㎡,整租,西,1400元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2564535363712589824,天津,河东,万新村,倚虹东里,56㎡,整租,南/北,1200元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564441800433467392,天津,河北,建昌道,桥园里,29㎡,整租,南,1300元/月,None,1室,1厅,1卫,2020-08-10,暂无数据,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2559200825369444352,天津,东丽,金钟街,春江里,51㎡,整租,南,1400元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2565224572551446528,天津,河东,太阳城,丹荔园,15㎡,合租,南,900元/月,月付价,5室,1厅,1卫,随时入住,1~12个月,随时可看,3,5层,无,暂无数据,民水,民电,有,暂无数据
TJ2562330172883730432,天津,武清,武清其它,金侨大道,14㎡,合租,南/北,500元/月,年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,17层,有,免费使用,民水,民电,有,集中供暖
TJ2565224574396669952,天津,河东,太阳城,丹荔园,15㎡,合租,南,1000元/月,月付价,5室,1厅,1卫,随时入住,1~12个月,随时可看,3,5层,无,暂无数据,民水,民电,有,暂无数据
TJ2562868781135167488,天津,河东,万新村,环秀中里,39㎡,整租,南,1050元/月,季付价,1室,1厅,1卫,2020-07-15,1年以内,需提前预约,高楼层,7层,无,免费使用,民水,民电,有,集中供暖
TJ2564498909212704768,天津,海河教育园区,咸水沽,诚信里小区,94㎡,整租,南,1200元/月,None,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,无,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2564256352361267200,天津,东丽,东丽湖,恒大翡翠华庭,136㎡,整租,南,1200元/月,季付价,3室,2厅,2卫,随时入住,1年以内,需提前预约,中楼层,25层,有,暂无数据,民水,民电,有,集中供暖
TJ2565199513522544640,天津,和平,新兴街,兴河里,31㎡,整租,西,1700元/月,季付价,1室,0厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2561383300828495872,天津,海河教育园区,咸水沽,天悦风华,95㎡,整租,南/北,1000元/月,None,3室,1厅,1卫,2020-07-30,暂无数据,需提前预约,高楼层,4层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2560703236386865152,天津,武清,下朱庄,君利花园,96㎡,整租,南/北,500元/月,季付价,1室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2560687352238309376,天津,津南,辛庄,鑫港园,85㎡,整租,南,1100元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2565224574254063616,天津,河东,太阳城,丹荔园,15㎡,合租,南,1150元/月,月付价,5室,1厅,1卫,随时入住,1~12个月,随时可看,3,5层,无,暂无数据,民水,民电,有,暂无数据
TJ2561552101465931776,天津,塘沽,向阳街,吉顺里,60㎡,整租,南,1500元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2565174663353204736,天津,河东,太阳城,丹荔园,13㎡,合租,南,1100元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,4,5层,无,租用车位,民水,民电,有,集中供暖
TJ2564557938883051520,天津,河东,唐家口,晓德里,47㎡,整租,南,1300元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2562960982826041344,天津,河西,陈塘庄,微山里,40㎡,整租,东南,1400元/月,年付价,2室,1厅,1卫,随时入住,1年,随时可看,5,5层,无,免费使用,民水,民电,有,集中供暖
TJ2561661995963121664,天津,河东,向阳楼,晨光楼(河东区),26㎡,整租,北,1200元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,5层,无,免费使用,民水,民电,有,集中供暖
TJ2565248465722408960,天津,河东,唐家口,欣荣馨苑,20㎡,合租,东南,1299元/月,季付价,4室,1厅,1卫,随时入住,3~12个月,随时可看,19,28层,有,免费使用,民水,民电,有,集中供暖
TJ2563768300639633408,天津,西青,中北镇,依丽园,18㎡,合租,南,950元/月,月付价,5室,1厅,1卫,随时入住,6~12个月,随时可看,4,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2565061961373466624,天津,河北,宁园,竞园里,15㎡,合租,南,980元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,7层,无,免费使用,民水,民电,有,集中供暖
TJ2564276422432792576,天津,河西,陈塘庄,昆仑里(河西区),57㎡,整租,南/北,1600元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2565061961373466624,天津,河北,宁园,竞园里,15㎡,合租,南,980元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,7层,无,免费使用,民水,民电,有,集中供暖
TJ2345655557161230336,天津,东丽,东丽湖,朗钜维尔蓝堤花园,63㎡,整租,南,1400元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,20层,有,免费使用,民水,民电,有,集中供暖
TJ2564470536583520256,天津,西青,精武镇,荣水里,18㎡,合租,南,998元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,5,5层,无,免费使用,民水,民电,有,集中供暖
TJ2351457940755718144,天津,宝坻,北城路,宝鑫景苑,89㎡,整租,南/北,900元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,免费使用,民水,民电,有,集中供暖
TJ2564469104110993408,天津,西青,精武镇,荣水里,15㎡,合租,南,998元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,3,5层,无,免费使用,民水,民电,有,集中供暖
TJ2299315186248720384,天津,蓟州,蓟州城区,安裕新村,81㎡,整租,南/北,800元/月,年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2294645760148373504,天津,津南,咸水沽,照明南里,82㎡,整租,南/北,1000元/月,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2336028076925779968,天津,武清,下朱庄,颐洋花园,91㎡,整租,南,500元/月,None,3室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,8层,有,租用车位,民水,民电,有,集中供暖
TJ2342726289322156032,天津,北辰,北仓镇,荣溪园,87㎡,整租,南/北,1000元/月,月付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2339618951073636352,天津,塘沽,工农村,东海岸家园,70㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2564470536223080448,天津,西青,精武镇,荣水里,15㎡,合租,北,898元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,5,5层,无,免费使用,民水,民电,有,集中供暖
TJ2346416677434441728,天津,海河教育园区,咸水沽,金御瞰景,89㎡,整租,南,1000元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,32层,有,暂无数据,民水,民电,有,集中供暖
TJ2564469103901278208,天津,西青,精武镇,荣水里,18㎡,合租,北,998元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,3,5层,无,免费使用,民水,民电,有,集中供暖
TJ2349133901169442816,天津,北辰,北仓镇,盛泽园,95㎡,整租,南/北,600元/月,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,27层,有,暂无数据,民水,民电,有,集中供暖
TJ2289013713287512064,天津,武清,武清其它,经纬城市绿洲学知华庭,86㎡,整租,南,800元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,34层,有,暂无数据,民水,民电,有,集中供暖
TJ2299228775784644608,天津,北辰,北仓镇,荣溪园,65㎡,整租,南/北,600元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,24层,有,暂无数据,民水,民电,有,集中供暖
TJ2306995138762637312,天津,滨海新区,大港,荣华里(大港区),70㎡,整租,南,900元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2382377893486665728,天津,红桥,西营门,梦和园,56㎡,整租,南,1000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,28层,有,暂无数据,民水,民电,有,集中供暖
TJ2378776445330923520,天津,海河教育园区,咸水沽,融创中央学府,102㎡,整租,南,1200元/月,None,3室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,28层,有,暂无数据,民水,民电,有,集中供暖
TJ2391757530905706496,天津,东丽,东丽湖,北大资源阅府,80㎡,整租,南,1100元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,18层,有,免费使用,民水,民电,有,集中供暖
TJ2564467536917962752,天津,西青,精武镇,荣水里,18㎡,合租,南,998元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,5,5层,无,免费使用,民水,民电,有,集中供暖
TJ2407020232293498880,天津,武清,下朱庄,君利花园,128㎡,整租,南/北,800元/月,年付价,3室,1厅,2卫,随时入住,2年以内,需提前预约,中楼层,24层,有,免费使用,民水,民电,有,集中供暖
TJ2564467536708247552,天津,西青,精武镇,荣水里,15㎡,合租,南,998元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,5,5层,无,免费使用,民水,民电,有,集中供暖
TJ2424567649267613696,天津,东丽,华明镇,大唐印象,105㎡,整租,南/北,1200元/月,None,3室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,21层,有,暂无数据,民水,民电,有,集中供暖
